TheoryID,Name,Ascending Intervals,Descending Intervals,Tonic,Tuning,Culture,Country,Region,SocID,,Reference,RefID,Primary_source?,Reduced_scale,Notes
T0081,Iwato,1;4;1;4;2,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0082,Kokin Joshi,2;3;2;1;4,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0083,Akebono,2;1;4;2;3,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0084,Han Iwato,1;4;2;3;2,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0085,Ryukan,4;1;2;4;1,N/A,1,Pythagorean,Okinawan,Japan,East Asia,Oki6,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0086,Yosenpo,2;3;2;3;2,2;3;2;2;3,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0088,Isenpo,1;4;2;3;2,1;4;2;1;4,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0090,Silaba,2;2;1;2;2;2;1,N/A,1,Just,Kora,Many,Africa,Mal54,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0091,Tomora Mesengo,2;1;2;2;2;1;2,N/A,1,Just,Kora,Many,Africa,Mal54,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0092,Sauta,2;2;2;1;2;2;1,N/A,1,Just,Kora,Many,Africa,Mal54,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0093,Hardino,2;2;1;2;2;2;1,N/A,1,Just,Kora,Many,Africa,Mal54,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0094,Bilawal,2;2;1;2;2;2;1,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0095,Kalyan,2;2;2;1;2;2;1,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0096,Khamaj,2;2;1;2;2;1;2,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0097,Khafi,2;1;2;2;2;1;2,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0098,Asavari,2;1;2;2;1;2;2,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0099,Bhairavi,1;2;2;2;1;2;2,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0100,Purvi,1;3;2;1;1;3;1,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0101,Todi,1;2;3;1;1;3;1,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0102,Bhairav,1;3;1;2;1;3;1,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0103,Marwa,1;3;2;1;2;2;1,N/A,1,12-tet;Just,Northern India,India,South Asia,Nor8,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0104,Mela Kanakangi,1;1;3;2;1;1;3,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0105,Mela Ratnangi,1;1;3;2;1;2;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0106,Mela Ganamurti,1;1;3;2;1;3;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0107,Mela Vanaspati,1;1;3;2;2;1;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0108,Mela Manavati,1;1;3;2;2;2;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0109,Mela Tanarupi,1;1;3;2;3;1;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0110,Mela Senavati,1;2;2;2;1;1;3,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0111,Mela Hanumatodi,1;2;2;2;1;2;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0112,Mela Dhenuka,1;2;2;2;1;3;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0113,Mela Natakapriya,1;2;2;2;2;1;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0114,Mela Kokilapriya,1;2;2;2;2;2;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0115,Mela Rupavati,1;2;2;2;1;3;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0116,Mela Gayakapriya,1;3;1;2;1;1;3,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0117,Mela Vakulabharanam,1;3;1;2;1;2;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0118,Mela Mayamalavagowla,1;3;1;2;1;3;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0119,Mela Chakravakam,1;3;1;2;2;1;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0120,Mela Suryakantam,1;3;1;2;2;2;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0121,Mela Hatakambari,1;3;1;2;3;1;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0122,Mela Jhankaradhwani,2;1;2;2;1;1;3,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0123,Mela Natabhairavi,2;1;2;2;1;2;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0124,Mela Keeravani,2;1;2;2;1;3;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0125,Mela Kharaharapriya,2;1;2;2;2;1;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0126,Mela Gourimanohari,2;1;2;2;2;2;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
